time,target,command
34219900, 100, 1
34220681, 100, 2
34221598, 100, 3
34222811, 100, 4
34223704, 100, 5
34224820, 100, 6
34225667, 100, 7
34226629, 100, 8
34227598, 100, 9
34228587, 100, 10
34229563, 100, 11
34230589, 100, 12
34231602, 100, 13
34242701, 100, 24
34243628, 100, 25
34244569, 100, 26
34245573, 100, 27
34246597, 100, 28
34247583, 100, 29
34248583, 100, 30
34249581, 100, 31
34250586, 100, 32
34251593, 100, 33
34252609, 100, 34
34253611, 100, 35
34254591, 100, 36
34255573, 100, 37
34256598, 100, 38
34257586, 100, 39
34268608, 100, 50
34270626, 100, 52
34271563, 100, 53
34272570, 100, 54
34273580, 100, 55
34274582, 100, 56
34275560, 100, 57
34276567, 100, 58
34277582, 100, 59
34278581, 100, 60
34279570, 100, 61
34280602, 100, 62
34281593, 100, 63
34282558, 100, 64
34283588, 100, 65
34284631, 100, 66
34285677, 100, 67
34296649, 100, 78
34297499, 100, 79
34298542, 100, 80
34299577, 100, 81
34300526, 100, 82
34301543, 100, 83
34302519, 100, 84
34303528, 100, 85
34304632, 100, 86
34305583, 100, 87
34306520, 100, 88
34307525, 100, 89
34308506, 100, 90
34309520, 100, 91
34310604, 100, 92
34321583, 100, 100