time,   left,   front
1,      156,    195
2,      195,    210
3,      200,    223
4,      200,    224
5,      199,    222
6,      196,    222
7,      197,    224
8,      195,    225
9,      192,    230
10,     194,    223
11,     194,    235
12,     201,    221
13,     196,    222
14,     204,    217
15,     197,    222
16,     200,    222
17,     200,    223
18,     199,    222
19,     199,    224
20,     199,    223
21,     198,    227
22,     198,    222
23,     199,    225
24,     198,    224
25,     197,    224
26,     197,    223
27,     202,    222
28,     201,    223
29,     201,    226
30,     199,    223
31,     199,    221
32,     199,    224
33,     201,    222
34,     200,    223
35,     200,    223
36,     199,    224
37,     200,    222
38,     201,    223
39,     198,    224
40,     198,    220
41,     196,    225
42,     204,    217
43,     200,    223
44,     208,    204
45,     198,    218
46,     201,    225
47,     195,    225
48,     201,    225
49,     197,    224
50,     200,    221
51,     199,    223
52,     201,    226
53,     199,    222
54,     200,    223
55,     202,    224
56,     198,    225
57,     201,    222
58,     197,    224
59,     200,    222
60,     203,    222
61,     201,    223
62,     201,    225
63,     196,    226
64,     200,    222
65,     200,    227
66,     199,    224
67,     199,    224
68,     198,    224
69,     200,    224
70,     200,    222
71,     199,    218
72,     198,    220
73,     194,    226
74,     197,    223
75,     201,    223
76,     202,    217
77,     197,    224
78,     194,    222
79,     200,    218
80,     199,    219
81,     198,    222
82,     198,    224
83,     202,    225
84,     200,    221
85,     200,    225
86,     200,    223
87,     199,    224
88,     198,    222
89,     200,    221
90,     201,    225
91,     196,    224
92,     202,    222
93,     199,    221
94,     201,    223
95,     199,    222
96,     199,    224
97,     201,    221
98,     202,    222
99,     198,    221
100,    200,    225
101,    200,    222
102,    200,    221
103,    199,    222
104,    197,    220
105,    194,    226
106,    205,    210
107,    202,    214
108,    200,    220
109,    202,    213
110,    195,    228
111,    203,    227
112,    200,    223
113,    201,    223
114,    201,    223
115,    201,    224
116,    201,    223
117,    198,    221
118,    201,    220
119,    199,    224
120,    199,    222
121,    199,    223
122,    197,    224
123,    200,    222
124,    197,    224
125,    196,    220
126,    198,    224
127,    199,    225
128,    199,    223
129,    201,    222
130,    199,    222
131,    197,    222
132,    201,    222
133,    198,    223
134,    198,    221
135,    198,    224
136,    200,    223
137,    196,    224
138,    199,    219
139,    196,    222
140,    198,    224
141,    202,    213
142,    198,    216
143,    199,    221
144,    194,    227
145,    203,    223
146,    199,    219
147,    200,    223
148,    199,    224
149,    200,    225
150,    201,    223
151,    200,    220
152,    199,    223
153,    200,    224
154,    201,    225
155,    199,    225
156,    200,    224
157,    198,    224
158,    198,    224
159,    197,    222
160,    200,    222
161,    196,    222
162,    199,    223
163,    200,    223
164,    200,    222
165,    199,    225
166,    198,    219
167,    199,    224
168,    197,    222
169,    200,    219
170,    197,    222
171,    194,    226
172,    200,    210
173,    204,    207
174,    197,    222
175,    203,    218
176,    200,    224
177,    196,    226
178,    203,    223
179,    199,    224
180,    201,    222
181,    202,    223
182,    200,    223
183,    200,    225
184,    200,    225
185,    200,    222
186,    198,    223
187,    202,    222
188,    202,    223
189,    202,    221
190,    200,    224
191,    197,    222
192,    202,    225
193,    201,    224
194,    202,    224
195,    199,    224
196,    201,    224
197,    199,    221
198,    200,    226
199,    199,    225
200,    196,    223
201,    198,    221
202,    196,    219
203,    194,    222
204,    209,    215
205,    200,    214
206,    191,    229
207,    200,    220
208,    196,    221
209,    197,    226
210,    199,    221
211,    199,    224
212,    198,    223
213,    200,    227
214,    200,    222
215,    200,    223
216,    200,    222
217,    195,    222
218,    200,    224
219,    200,    225
220,    203,    223
221,    199,    225
222,    200,    222
223,    200,    224
224,    198,    224
225,    199,    222
226,    200,    223
227,    198,    223
228,    202,    223
229,    198,    223
230,    199,    223
231,    200,    225
232,    197,    224
233,    199,    221
234,    192,    228
235,    198,    222
236,    190,    233
237,    196,    223
238,    200,    215
239,    194,    225
240,    199,    220
241,    200,    224
242,    201,    226
243,    201,    228
244,    198,    222
245,    199,    223
246,    201,    225
247,    201,    222
248,    199,    224
249,    201,    225
250,    197,    224
251,    200,    226
252,    202,    221
253,    198,    222
254,    199,    221
255,    201,    225
256,    200,    220
257,    200,    225
258,    201,    222
259,    200,    221
260,    201,    222
261,    199,    223
262,    199,    223
263,    200,    224
264,    199,    227
265,    196,    224
266,    201,    217
267,    199,    217
268,    197,    217
269,    206,    205
270,    194,    226
271,    195,    226
272,    199,    218
273,    199,    226
274,    199,    224
275,    200,    225
276,    198,    220
277,    200,    222
278,    201,    220
279,    202,    223
280,    200,    221
281,    200,    224
282,    200,    222
283,    199,    224
284,    199,    220
285,    202,    221
286,    199,    222
287,    198,    221
288,    200,    225
289,    198,    224
290,    199,    223
291,    198,    226
292,    201,    222
293,    197,    223
294,    199,    225
295,    199,    223
296,    199,    223
297,    200,    220
298,    201,    219
299,    196,    227
300,    197,    223
301,    200,    215
302,    198,    220
303,    198,    219
304,    196,    226
305,    198,    226
306,    199,    221
307,    200,    223
308,    200,    224
309,    200,    222
310,    201,    221
311,    202,    222
312,    199,    225
313,    200,    226
314,    200,    224
315,    199,    222
316,    200,    223
317,    201,    224
318,    199,    221
319,    198,    223
320,    198,    221
321,    200,    225
322,    200,    221
323,    200,    221
324,    199,    225
325,    200,    226
326,    199,    222
327,    200,    222
328,    199,    222
329,    199,    223
330,    200,    215
331,    194,    224
332,    199,    227
333,    200,    214
334,    195,    220
335,    199,    220
336,    204,    208
337,    200,    221
338,    198,    221
339,    198,    221
340,    200,    224
341,    202,    223
342,    200,    223
343,    200,    222
344,    198,    226
345,    200,    224
346,    196,    222
347,    200,    226
348,    199,    226
349,    196,    224
350,    199,    221
351,    196,    222
352,    200,    222
353,    204,    224
354,    198,    224
355,    196,    225
356,    201,    222
357,    198,    220
358,    200,    224
359,    200,    224
360,    199,    221
361,    196,    223
362,    197,    222
363,    193,    224
364,    194,    221
365,    195,    222
366,    200,    215
367,    207,    209
368,    190,    228
369,    190,    228
370,    193,    227
371,    206,    219
372,    202,    221
373,    198,    222
374,    200,    221
375,    202,    223
376,    200,    225
377,    203,    225
378,    200,    224
379,    200,    224
380,    200,    224
381,    198,    221
382,    200,    220
383,    201,    225
384,    199,    223
385,    199,    224
386,    201,    223
387,    199,    223
388,    198,    221
389,    201,    222
390,    200,    225
391,    198,    226
392,    199,    225
393,    200,    223
394,    197,    223
395,    198,    224
396,    201,    224
397,    196,    225
398,    200,    216
399,    198,    220
400,    198,    219
401,    197,    223
402,    194,    231
403,    197,    225
404,    198,    226
405,    194,    224
406,    199,    221
407,    201,    224
408,    199,    223
409,    201,    225
410,    201,    225
411,    198,    223
412,    200,    225
413,    197,    226
414,    196,    221
415,    200,    222
416,    199,    223
417,    198,    223
418,    197,    220
419,    200,    224
420,    197,    220
421,    199,    222
422,    197,    223
423,    199,    223
424,    198,    221
425,    198,    228
426,    201,    221
427,    202,    224
428,    197,    229
429,    194,    223
430,    195,    221
431,    189,    228
432,    196,    224
433,    206,    204
434,    199,    223
435,    197,    226
436,    200,    218
437,    198,    225
438,    193,    223
439,    195,    224
440,    200,    225
441,    199,    223
442,    200,    221
443,    198,    224
444,    199,    221
445,    200,    227
446,    200,    224
447,    196,    224
448,    199,    224
449,    201,    224
450,    199,    222
451,    200,    223
452,    199,    223
453,    198,    224
454,    202,    221
455,    199,    223
456,    199,    224
457,    198,    224
458,    198,    225
459,    199,    224
460,    201,    227
461,    197,    219
462,    204,    231
463,    201,    220
464,    195,    222
465,    191,    229
466,    196,    222
467,    198,    223
468,    199,    227
469,    200,    225
470,    199,    224
471,    200,    222
472,    199,    221
473,    199,    225
474,    199,    224
475,    202,    223
476,    200,    223
477,    197,    224
478,    200,    221
479,    201,    222
480,    198,    225
481,    199,    225
482,    198,    224
483,    198,    222
484,    200,    222
485,    199,    224
486,    201,    225
487,    200,    222
488,    200,    224
489,    198,    222
490,    202,    226
491,    202,    225
492,    199,    220
493,    202,    217
494,    197,    221
495,    192,    226
496,    200,    215
497,    203,    213
498,    199,    221
499,    199,    228
500,    198,    223
501,    200,    221
502,    200,    222
503,    201,    226
504,    202,    226
505,    197,    224
506,    201,    222
507,    200,    223
508,    201,    226
509,    199,    222
510,    198,    221
511,    198,    222
512,    198,    222
513,    200,    221
514,    198,    221
515,    195,    223
516,    201,    223
517,    200,    225
518,    201,    223
519,    199,    224
520,    198,    225
521,    198,    223
522,    199,    223
523,    200,    221
524,    198,    220
525,    199,    220
526,    197,    221
527,    199,    229
528,    196,    226
529,    205,    217
530,    203,    212
531,    198,    228
532,    202,    227
533,    198,    223
534,    201,    225
535,    201,    221
536,    197,    224
537,    199,    222
538,    202,    222
539,    203,    225
540,    200,    224
541,    201,    224
542,    201,    226
543,    202,    223
544,    199,    220
545,    200,    221
546,    201,    224
547,    198,    225
548,    199,    223
549,    199,    220
550,    198,    222
551,    198,    224
552,    199,    222
553,    198,    222
554,    203,    220
555,    199,    224
556,    192,    227
557,    203,    216
558,    204,    212
559,    197,    228
560,    191,    229
561,    198,    223
562,    197,    225
563,    196,    221
564,    199,    224
565,    200,    222
566,    201,    223
567,    200,    225
568,    203,    224
569,    199,    223
570,    199,    225
571,    199,    224
572,    200,    227
573,    200,    224
574,    196,    225
575,    201,    225
576,    198,    225
577,    201,    224
578,    200,    223
579,    201,    224
580,    197,    223
581,    200,    223
582,    197,    223
583,    199,    222
584,    198,    224
585,    196,    226
586,    192,    231
587,    199,    221
588,    193,    230
589,    208,    210
590,    196,    226
591,    197,    223
592,    199,    224
593,    198,    222
594,    201,    224
595,    201,    224
596,    196,    220
597,    200,    223
598,    199,    223
599,    200,    223
600,    201,    222