time, batteryVoltage, speed, leftSpeed, rightSpeed
12197, 7304, -540, -485.00, -476.67
13197, 7293, -530, -481.67, -476.67
14197, 7282, -520, -466.67, -475.00
15197, 7282, -510, -455.00, -468.33
16197, 7282, -500, -453.33, -456.67
17197, 7293, -490, -455.00, -455.00
18197, 7293, -480, -451.67, -445.00
19197, 7293, -470, -441.67, -438.33
20197, 7293, -460, -433.33, -428.33
21197, 7293, -450, -426.67, -411.67
22197, 7293, -440, -416.67, -408.33
23197, 7304, -430, -413.33, -395.00
24197, 7293, -420, -400.00, -385.00
25197, 7293, -410, -386.67, -381.67
26197, 7293, -400, -370.00, -366.67
27197, 7293, -390, -366.67, -365.00
28197, 7282, -380, -356.67, -350.00
29197, 7293, -370, -353.33, -346.67
30197, 7293, -360, -341.67, -333.33
31197, 7293, -350, -331.67, -331.67
32197, 7293, -340, -313.33, -321.67
33197, 7293, -330, -301.67, -320.00
34197, 7293, -320, -298.33, -310.00
35197, 7293, -310, -291.67, -295.00
36197, 7293, -300, -283.33, -291.67
37197, 7282, -290, -266.67, -275.00
38197, 7293, -280, -260.00, -271.67
39197, 7315, -270, -258.33, -261.67
40197, 7293, -260, -236.67, -251.67
41197, 7293, -250, -235.00, -250.00
42197, 7293, -240, -223.33, -246.67
43197, 7293, -230, -216.67, -231.67
44197, 7293, -220, -203.33, -220.00
45197, 7304, -210, -198.33, -208.33
46197, 7293, -200, -188.33, -190.00
47197, 7293, -190, -176.67, -178.33
48197, 7315, -180, -166.67, -165.00
49197, 7293, -170, -160.00, -165.00
50197, 7293, -160, -150.00, -156.67
51197, 7293, -150, -128.33, -145.00
52197, 7293, -140, -121.67, -128.33
53197, 7293, -130, -111.67, -113.33
54197, 7293, -120, -106.67, -111.67
55197, 7293, -110, -93.33, -101.67
56197, 7293, -100, -85.00, -83.33
57197, 7293, -90, -63.33, -83.33
58197, 7293, -80, -53.33, -73.33
59197, 7293, -70, -45.00, -61.67
60197, 7293, -60, -31.67, -56.67
61197, 7282, -50, -20.00, -46.67
62197, 7293, -40, -16.67, -35.00
63197, 7293, -30, 0.00, -18.33
64197, 7293, -20, 0.00, -18.33
65197, 7293, -10, 0.00, -10.00
66197, 7293, 0, 0.00, 0.00
67197, 7293, 10, 0.00, 0.00
68197, 7293, 20, 0.00, 0.00
69197, 7293, 30, 0.00, 0.00
70197, 7293, 40, 0.00, 5.00
71197, 7293, 50, 0.00, 43.33
72197, 7293, 60, 0.00, 48.33
73197, 7293, 70, 0.00, 63.33
74197, 7282, 80, 0.00, 78.33
75197, 7293, 90, 0.00, 91.67
76197, 7293, 100, 0.00, 101.67
77197, 7293, 110, 0.00, 121.67
78197, 7293, 120, 0.00, 130.00
79197, 7304, 130, 0.00, 135.00
80197, 7293, 140, 0.00, 143.33
81197, 7293, 150, 0.00, 166.67
82197, 7315, 160, 0.00, 178.33
83197, 7293, 170, 140.00, 183.33
84197, 7282, 180, 173.33, 200.00
85197, 7293, 190, 186.67, 206.67
86197, 7293, 200, 206.67, 218.33
87197, 7282, 210, 211.67, 233.33
88197, 7293, 220, 223.33, 238.33
89197, 7304, 230, 236.67, 253.33
90197, 7282, 240, 243.33, 256.67
91197, 7293, 250, 256.67, 268.33
92197, 7282, 260, 265.00, 281.67
93197, 7293, 270, 275.00, 288.33
94197, 7315, 280, 285.00, 303.33
95197, 7282, 290, 301.67, 306.67
96197, 7282, 300, 310.00, 320.00
97197, 7293, 310, 323.33, 326.67
98197, 7293, 320, 335.00, 333.33
99197, 7293, 330, 340.00, 348.33
100197, 7293, 340, 355.00, 353.33
101197, 7293, 350, 358.33, 363.33
102197, 7293, 360, 370.00, 375.00
103197, 7293, 370, 381.67, 385.00
104197, 7282, 380, 388.33, 388.33
105197, 7293, 390, 393.33, 401.67
106197, 7282, 400, 395.00, 411.67
107197, 7282, 410, 406.67, 423.33
108197, 7293, 420, 420.00, 431.67
109197, 7293, 430, 433.33, 443.33
110197, 7293, 440, 448.33, 451.67
111197, 7293, 450, 455.00, 460.00
112197, 7293, 460, 470.00, 468.33
113197, 7282, 470, 478.33, 481.67
114197, 7282, 480, 486.67, 491.67
115197, 7282, 490, 500.00, 500.00
116197, 7282, 500, 510.00, 508.33
117197, 7293, 510, 508.33, 511.67
118197, 7282, 520, 523.33, 525.00
119197, 7282, 530, 528.33, 531.67
120197, 7293, 540, 538.33, 543.33
121197, 7293, 550, 545.00, 551.67