time, batteryVoltage, motorCommand, leftSpeedRpm, rightSpeedRpm
33.185, 7458, -250, -609.38, -632.51
34.185, 7458, -245, -595.24, -626.57
35.187, 7458, -240, -568.83, -603.86
36.187, 7458, -235, -588.93, -595.24
37.189, 7469, -230, -578.70, -625.39
38.191, 7458, -225, -582.75, -621.89
39.191, 7458, -220, -564.02, -611.62
40.193, 7458, -215, -578.70, -591.02
41.195, 7458, -210, -572.74, -603.86
42.195, 7458, -205, -576.70, -587.89
43.197, 7458, -200, -571.76, -588.93
44.197, 7458, -195, -563.06, -578.70
45.198, 7469, -190, -547.35, -572.74
46.200, 7458, -185, -542.01, -563.06
47.200, 7458, -180, -531.63, -572.74
48.202, 7458, -175, -528.26, -566.89
49.204, 7458, -170, -537.63, -553.71
50.204, 7458, -165, -521.65, -552.79
51.206, 7469, -160, -535.05, -536.77
52.206, 7458, -155, -528.26, -544.66
53.207, 7458, -150, -499.75, -528.26
54.209, 7458, -145, -493.10, -537.63
55.209, 7458, -140, -497.51, -525.76
56.211, 7458, -135, -490.20, -502.01
57.213, 7458, -130, -462.96, -496.77
58.213, 7458, -125, -466.20, -483.79
59.215, 7458, -120, -440.92, -488.04
60.216, 7458, -115, -442.09, -464.25
61.216, 7458, -110, -424.09, -442.09
62.218, 7458, -105, -408.00, -417.71
63.218, 7458, -100, -394.01, -416.15
64.220, 7469, -95, -391.70, -394.48
65.221, 7458, -90, -358.81, -367.51
66.221, 7458, -85, -344.00, -343.29
67.223, 7469, -80, -310.37, -318.98
68.225, 7458, -75, -282.73, -290.36
69.225, 7469, -70, -255.04, -263.30
70.227, 7458, -65, -230.68, -217.58
71.227, 7458, -60, -188.86, -176.74
72.229, 7469, -55, -141.84, -131.18
73.231, 7469, -50, -94.38, -83.15
74.231, 7458, -45, -37.20, -29.49
75.232, 7458, -40, -24.10, -5.91
76.233, 7458, -35, -24.10, -5.91
77.233, 7458, -30, -24.10, -5.91
78.234, 7458, -25, -24.10, -5.91
79.234, 7469, -20, -24.10, -5.91
80.235, 7458, -15, -24.10, -5.91
81.236, 7458, -10, -24.10, -5.91
82.236, 7458, -5, -24.10, -5.91
83.237, 7458, 0, -24.10, -5.91
84.238, 7469, 5, -24.10, -5.91
85.238, 7469, 10, -24.10, -5.91
86.239, 7458, 15, -24.10, -5.91
87.239, 7469, 20, -24.10, -5.91
88.240, 7458, 25, 0.00, -5.91
89.241, 7458, 30, 0.00, -5.91
90.241, 7458, 35, 0.00, -5.91
91.242, 7458, 40, 0.00, 0.02
92.243, 7458, 45, 0.00, 40.83
93.243, 7469, 50, 0.00, 90.31
94.244, 7458, 55, 0.05, 134.68
95.244, 7458, 60, 0.05, 182.15
96.245, 7458, 65, 0.05, 229.10
97.246, 7458, 70, 202.76, 259.81
98.246, 7458, 75, 239.12, 301.93
99.247, 7469, 80, 282.73, 310.66
100.248, 7458, 85, 301.66, 362.32
101.248, 7458, 90, 338.07, 385.80
102.249, 7469, 95, 357.27, 384.02
103.249, 7458, 100, 365.50, 410.51
104.250, 7458, 105, 380.52, 428.45
105.251, 7458, 110, 400.64, 452.28
106.251, 7458, 115, 417.71, 460.41
107.252, 7469, 120, 419.29, 494.56
108.253, 7458, 125, 440.33, 508.91
109.253, 7458, 130, 466.85, 505.82
110.254, 7469, 135, 464.90, 515.20
111.254, 7458, 140, 498.26, 511.25
112.255, 7458, 145, 499.75, 532.48
113.256, 7458, 150, 501.25, 543.77
114.256, 7458, 155, 520.83, 568.83
115.257, 7458, 160, 514.40, 577.70
116.258, 7458, 165, 538.50, 553.71
117.258, 7458, 170, 547.35, 562.11
118.260, 7458, 175, 535.05, 563.06
119.260, 7458, 180, 542.89, 594.18
120.261, 7458, 185, 550.06, 573.72
121.262, 7458, 190, 572.74, 597.37
122.262, 7458, 195, 574.71, 613.87
123.263, 7458, 200, 576.70, 617.28
124.264, 7458, 205, 565.93, 602.77
125.264, 7458, 210, 582.75, 608.27
126.265, 7458, 215, 581.73, 600.60
127.265, 7458, 220, 587.89, 604.96
128.265, 7458, 225, 586.85, 608.27
129.266, 7458, 230, 592.07, 624.22
130.266, 7458, 235, 612.75, 631.31
131.267, 7458, 240, 602.77, 615.01
132.268, 7469, 245, 589.97, 634.92
133.268, 7458, 250, 628.93, 636.13
134.270, 7458, 255, 636.13, 630.12